LV1,SPVolt,Output,Date,ST_Lv1
100.15,100.00,580,2022-11-09 13:55:19,20
100.15,100.00,580,2022-11-09 13:55:20,20
100.15,100.00,580,2022-11-09 13:55:21,20
100.15,100.00,580,2022-11-09 13:55:22,20
100.15,100.00,580,2022-11-09 13:55:23,20
100.15,100.00,580,2022-11-09 13:55:24,20
100.15,100.00,580,2022-11-09 13:55:25,20
100.15,100.00,580,2022-11-09 13:55:26,20
100.15,100.00,580,2022-11-09 13:55:27,20
100.15,100.00,580,2022-11-09 13:55:28,20
100.15,100.00,580,2022-11-09 13:55:29,20
100.15,100.00,580,2022-11-09 13:55:30,20
100.15,100.00,580,2022-11-09 13:55:31,20
100.15,100.00,580,2022-11-09 13:55:32,20
100.15,100.00,580,2022-11-09 13:55:33,20
100.15,100.00,580,2022-11-09 13:55:34,20
98.18,100.00,580,2022-11-09 13:55:35,128
98.35,100.00,576,2022-11-09 13:55:36,128
98.35,100.00,576,2022-11-09 13:55:37,128
98.50,100.00,576,2022-11-09 13:55:38,128
98.50,100.00,576,2022-11-09 13:55:39,128
98.50,100.00,576,2022-11-09 13:55:40,128
99.84,100.00,576,2022-11-09 13:55:41,128
100.22,100.00,580,2022-11-09 13:55:42,128
100.96,100.00,580,2022-11-09 13:55:43,128
100.96,100.00,583,2022-11-09 13:55:44,128
101.14,100.00,583,2022-11-09 13:55:45,128
101.14,100.00,583,2022-11-09 13:55:46,128
101.23,100.00,583,2022-11-09 13:55:47,128
101.13,100.00,583,2022-11-09 13:55:48,128
101.13,100.00,583,2022-11-09 13:55:49,128
101.13,100.00,583,2022-11-09 13:55:50,128
101.13,100.00,583,2022-11-09 13:55:51,128
101.13,100.00,583,2022-11-09 13:55:52,128
99.99,100.00,583,2022-11-09 13:55:53,128
99.99,100.00,580,2022-11-09 13:55:54,128
99.99,100.00,580,2022-11-09 13:55:55,128
99.63,100.00,580,2022-11-09 13:55:56,128
99.47,100.00,580,2022-11-09 13:55:57,128
99.47,100.00,580,2022-11-09 13:55:58,128
99.47,100.00,580,2022-11-09 13:55:59,128
99.47,100.00,580,2022-11-09 13:56:00,128
99.47,100.00,580,2022-11-09 13:56:01,128
99.47,100.00,580,2022-11-09 13:56:02,128
99.47,100.00,580,2022-11-09 13:56:03,128
99.47,100.00,580,2022-11-09 13:56:04,128
99.47,100.00,580,2022-11-09 13:56:05,128
99.47,100.00,580,2022-11-09 13:56:06,128
99.47,100.00,580,2022-11-09 13:56:07,20
99.47,100.00,580,2022-11-09 13:56:08,20
99.47,100.00,580,2022-11-09 13:56:09,20
99.47,100.00,580,2022-11-09 13:56:10,20
99.47,100.00,580,2022-11-09 13:56:11,20
99.47,100.00,580,2022-11-09 13:56:12,20
99.47,100.00,580,2022-11-09 13:56:13,20
99.47,100.00,580,2022-11-09 13:56:14,20
99.47,100.00,580,2022-11-09 13:56:15,20
99.47,100.00,580,2022-11-09 13:56:16,20
99.47,100.00,580,2022-11-09 13:56:17,20
99.47,100.00,580,2022-11-09 13:56:18,20
99.47,100.00,580,2022-11-09 13:56:19,20
99.47,100.00,580,2022-11-09 13:56:20,20
99.47,100.00,580,2022-11-09 13:56:21,20
99.47,100.00,580,2022-11-09 13:56:22,20
99.47,100.00,580,2022-11-09 13:56:23,20
99.47,100.00,580,2022-11-09 13:56:24,20
99.47,100.00,580,2022-11-09 13:56:25,20
99.47,100.00,580,2022-11-09 13:56:26,20
99.47,100.00,580,2022-11-09 13:56:27,20
99.47,100.00,580,2022-11-09 13:56:28,20
99.47,100.00,580,2022-11-09 13:56:29,20
99.47,100.00,576,2022-11-09 13:56:30,20
99.47,100.00,576,2022-11-09 13:56:31,20
99.47,100.00,576,2022-11-09 13:56:32,20
99.47,100.00,576,2022-11-09 13:56:33,20
99.47,100.00,576,2022-11-09 13:56:34,20
99.47,100.00,576,2022-11-09 13:56:35,20
99.47,100.00,576,2022-11-09 13:56:36,20
99.47,100.00,576,2022-11-09 13:56:37,20
99.47,100.00,576,2022-11-09 13:56:38,20
99.47,100.00,576,2022-11-09 13:56:39,20
99.47,100.00,576,2022-11-09 13:56:40,20
