LV1,SPVolt,Output,Date
99.06,100.00,586,2022-09-05 16:18:42
98.99,100.00,586,2022-09-05 16:18:43
98.87,100.00,586,2022-09-05 16:18:44
98.82,100.00,586,2022-09-05 16:18:45
98.77,100.00,586,2022-09-05 16:18:46
98.70,100.00,586,2022-09-05 16:18:47
98.70,100.00,586,2022-09-05 16:18:48
98.59,100.00,586,2022-09-05 16:18:49
98.49,100.00,583,2022-09-05 16:18:50
98.49,100.00,583,2022-09-05 16:18:51
98.54,100.00,583,2022-09-05 16:18:52
98.74,100.00,583,2022-09-05 16:18:53
98.89,100.00,583,2022-09-05 16:18:54
99.08,100.00,583,2022-09-05 16:18:55
99.34,100.00,583,2022-09-05 16:18:56
99.34,100.00,583,2022-09-05 16:18:57
99.61,100.00,583,2022-09-05 16:18:58
100.24,100.00,586,2022-09-05 16:18:59
100.24,100.00,586,2022-09-05 16:19:00
100.51,100.00,586,2022-09-05 16:19:01
100.73,100.00,586,2022-09-05 16:19:02
100.72,100.00,586,2022-09-05 16:19:03
100.67,100.00,586,2022-09-05 16:19:04
100.54,100.00,586,2022-09-05 16:19:05
100.42,100.00,586,2022-09-05 16:19:06
100.42,100.00,586,2022-09-05 16:19:07
100.19,100.00,586,2022-09-05 16:19:08
100.20,100.00,586,2022-09-05 16:19:09
100.19,100.00,586,2022-09-05 16:19:10
100.27,100.00,586,2022-09-05 16:19:11
100.39,100.00,586,2022-09-05 16:19:12
100.47,100.00,586,2022-09-05 16:19:13
100.59,100.00,586,2022-09-05 16:19:14
100.59,100.00,586,2022-09-05 16:19:15
100.92,100.00,586,2022-09-05 16:19:16
101.00,100.00,589,2022-09-05 16:19:17
101.03,100.00,589,2022-09-05 16:19:18
101.11,100.00,589,2022-09-05 16:19:19
100.98,100.00,589,2022-09-05 16:19:20
100.91,100.00,589,2022-09-05 16:19:21
100.83,100.00,589,2022-09-05 16:19:22
100.72,100.00,589,2022-09-05 16:19:23
100.64,100.00,589,2022-09-05 16:19:24
100.44,100.00,589,2022-09-05 16:19:25
100.31,100.00,589,2022-09-05 16:19:26
100.12,100.00,589,2022-09-05 16:19:27
99.89,100.00,586,2022-09-05 16:19:28
99.89,100.00,586,2022-09-05 16:19:29
99.66,100.00,586,2022-09-05 16:19:30
99.52,100.00,586,2022-09-05 16:19:31
99.53,100.00,586,2022-09-05 16:19:32
99.53,100.00,586,2022-09-05 16:19:33
99.63,100.00,586,2022-09-05 16:19:34
99.72,100.00,586,2022-09-05 16:19:35
99.84,100.00,586,2022-09-05 16:19:36
99.94,100.00,586,2022-09-05 16:19:37
100.03,100.00,586,2022-09-05 16:19:38
100.03,100.00,586,2022-09-05 16:19:39
100.33,100.00,586,2022-09-05 16:19:40
100.59,100.00,589,2022-09-05 16:19:41
100.85,100.00,589,2022-09-05 16:19:42
101.00,100.00,589,2022-09-05 16:19:43
101.14,100.00,589,2022-09-05 16:19:44
101.14,100.00,589,2022-09-05 16:19:45
101.31,100.00,589,2022-09-05 16:19:46
101.31,100.00,589,2022-09-05 16:19:47
101.32,100.00,589,2022-09-05 16:19:48
101.33,100.00,589,2022-09-05 16:19:49
101.24,100.00,589,2022-09-05 16:19:50
101.10,100.00,589,2022-09-05 16:19:51
101.10,100.00,589,2022-09-05 16:19:52
100.74,100.00,589,2022-09-05 16:19:53
100.65,100.00,589,2022-09-05 16:19:54
100.65,100.00,589,2022-09-05 16:19:55
100.59,100.00,589,2022-09-05 16:19:56
100.69,100.00,589,2022-09-05 16:19:57
100.60,100.00,589,2022-09-05 16:19:58
100.48,100.00,589,2022-09-05 16:19:59
100.24,100.00,589,2022-09-05 16:20:00
100.09,100.00,589,2022-09-05 16:20:01
99.89,100.00,589,2022-09-05 16:20:02
99.74,100.00,589,2022-09-05 16:20:03
99.55,100.00,589,2022-09-05 16:20:04
99.35,100.00,589,2022-09-05 16:20:05
99.16,100.00,589,2022-09-05 16:20:06
98.98,100.00,589,2022-09-05 16:20:07
98.86,100.00,586,2022-09-05 16:20:08
98.56,100.00,586,2022-09-05 16:20:09
98.43,100.00,586,2022-09-05 16:20:10
98.43,100.00,586,2022-09-05 16:20:11
98.66,100.00,586,2022-09-05 16:20:12
98.86,100.00,586,2022-09-05 16:20:13
99.19,100.00,586,2022-09-05 16:20:14
99.19,100.00,586,2022-09-05 16:20:15
99.66,100.00,586,2022-09-05 16:20:16
99.66,100.00,586,2022-09-05 16:20:17
100.08,100.00,586,2022-09-05 16:20:18
100.18,100.00,589,2022-09-05 16:20:19
100.28,100.00,589,2022-09-05 16:20:20
100.21,100.00,589,2022-09-05 16:20:21
100.11,100.00,589,2022-09-05 16:20:22
99.96,100.00,589,2022-09-05 16:20:23
99.82,100.00,586,2022-09-05 16:20:24
99.65,100.00,586,2022-09-05 16:20:25
99.52,100.00,586,2022-09-05 16:20:26
99.52,100.00,586,2022-09-05 16:20:27
99.52,100.00,586,2022-09-05 16:20:28
99.52,100.00,586,2022-09-05 16:20:29
99.99,100.00,586,2022-09-05 16:20:30
100.22,100.00,586,2022-09-05 16:20:31
100.42,100.00,589,2022-09-05 16:20:32
100.53,100.00,589,2022-09-05 16:20:33
100.64,100.00,589,2022-09-05 16:20:34
100.64,100.00,589,2022-09-05 16:20:35
100.55,100.00,589,2022-09-05 16:20:36
100.55,100.00,589,2022-09-05 16:20:37
100.37,100.00,589,2022-09-05 16:20:38
100.31,100.00,589,2022-09-05 16:20:39
100.31,100.00,589,2022-09-05 16:20:40
100.16,100.00,589,2022-09-05 16:20:41
100.08,100.00,589,2022-09-05 16:20:42
99.96,100.00,589,2022-09-05 16:20:43
99.93,100.00,589,2022-09-05 16:20:44
99.85,100.00,589,2022-09-05 16:20:45
99.86,100.00,589,2022-09-05 16:20:46
99.84,100.00,589,2022-09-05 16:20:47
99.84,100.00,589,2022-09-05 16:20:48
99.78,100.00,589,2022-09-05 16:20:49
99.78,100.00,586,2022-09-05 16:20:50
100.04,100.00,586,2022-09-05 16:20:51
100.34,100.00,589,2022-09-05 16:20:52
100.57,100.00,589,2022-09-05 16:20:53
100.78,100.00,589,2022-09-05 16:20:54
100.98,100.00,589,2022-09-05 16:20:55
101.09,100.00,589,2022-09-05 16:20:56
101.16,100.00,589,2022-09-05 16:20:57
101.16,100.00,589,2022-09-05 16:20:58
101.26,100.00,589,2022-09-05 16:20:59
101.29,100.00,589,2022-09-05 16:21:00
101.42,100.00,592,2022-09-05 16:21:01
101.62,100.00,592,2022-09-05 16:21:02
101.65,100.00,592,2022-09-05 16:21:03
101.65,100.00,592,2022-09-05 16:21:04
101.40,100.00,592,2022-09-05 16:21:05
101.23,100.00,592,2022-09-05 16:21:06
101.23,100.00,592,2022-09-05 16:21:07
101.03,100.00,592,2022-09-05 16:21:08
100.90,100.00,592,2022-09-05 16:21:09
100.64,100.00,592,2022-09-05 16:21:10
100.38,100.00,592,2022-09-05 16:21:11
100.13,100.00,592,2022-09-05 16:21:12
99.99,100.00,589,2022-09-05 16:21:13
99.87,100.00,589,2022-09-05 16:21:14
99.87,100.00,589,2022-09-05 16:21:15
99.79,100.00,589,2022-09-05 16:21:16
99.89,100.00,589,2022-09-05 16:21:17
99.99,100.00,589,2022-09-05 16:21:18
100.04,100.00,589,2022-09-05 16:21:19
100.22,100.00,589,2022-09-05 16:21:20
100.40,100.00,592,2022-09-05 16:21:21
100.64,100.00,592,2022-09-05 16:21:22
100.64,100.00,592,2022-09-05 16:21:23
100.92,100.00,592,2022-09-05 16:21:24
