LV1,SPVolt,Output,Date
100.13,100.00,576,2022-08-02 17:51:43.306343
100.00,100.00,573,2022-08-02 17:51:44.309400
99.92,100.00,573,2022-08-02 17:51:45.304457
99.94,100.00,573,2022-08-02 17:51:46.335516
99.94,100.00,573,2022-08-02 17:51:47.324573
100.01,100.00,573,2022-08-02 17:51:48.309629
100.01,100.00,573,2022-08-02 17:51:49.304686
100.01,100.00,573,2022-08-02 17:51:50.304743
100.29,100.00,576,2022-08-02 17:51:51.319801
100.29,100.00,576,2022-08-02 17:51:52.314858
100.47,100.00,576,2022-08-02 17:51:53.309915
100.47,100.00,576,2022-08-02 17:51:54.304972
100.54,100.00,576,2022-08-02 17:51:55.306029
100.52,100.00,576,2022-08-02 17:51:56.305086
100.48,100.00,576,2022-08-02 17:51:57.320144
100.39,100.00,576,2022-08-02 17:51:58.319201
100.29,100.00,576,2022-08-02 17:51:59.304258
100.20,100.00,576,2022-08-02 17:52:00.596332
99.94,100.00,576,2022-08-02 17:52:01.319373
99.80,100.00,576,2022-08-02 17:52:02.304429
99.62,100.00,573,2022-08-02 17:52:03.319487
99.62,100.00,573,2022-08-02 17:52:04.319545
99.62,100.00,573,2022-08-02 17:52:05.319602
99.26,100.00,573,2022-08-02 17:52:06.309658
99.26,100.00,573,2022-08-02 17:52:07.319716
99.26,100.00,573,2022-08-02 17:52:08.309773
99.23,100.00,573,2022-08-02 17:52:09.304830
99.33,100.00,573,2022-08-02 17:52:10.314888
99.44,100.00,573,2022-08-02 17:52:11.318945
99.59,100.00,573,2022-08-02 17:52:12.314002
99.79,100.00,573,2022-08-02 17:52:13.315059
99.90,100.00,573,2022-08-02 17:52:14.319117
99.90,100.00,573,2022-08-02 17:52:15.319174
99.90,100.00,573,2022-08-02 17:52:16.309230
100.17,100.00,573,2022-08-02 17:52:17.317288
100.17,100.00,573,2022-08-02 17:52:18.309345
100.29,100.00,576,2022-08-02 17:52:19.309402
100.35,100.00,576,2022-08-02 17:52:20.314459
100.44,100.00,576,2022-08-02 17:52:21.319517
100.46,100.00,576,2022-08-02 17:52:22.316574
100.46,100.00,576,2022-08-02 17:52:23.313631
100.49,100.00,576,2022-08-02 17:52:24.309688
100.57,100.00,576,2022-08-02 17:52:25.314745
100.57,100.00,576,2022-08-02 17:52:26.494813
100.60,100.00,576,2022-08-02 17:52:27.318860
100.56,100.00,576,2022-08-02 17:52:28.308917
100.48,100.00,576,2022-08-02 17:52:29.308974
100.48,100.00,576,2022-08-02 17:52:30.306031
100.37,100.00,576,2022-08-02 17:52:31.476098
100.16,100.00,576,2022-08-02 17:52:32.319146
100.03,100.00,576,2022-08-02 17:52:33.304202
99.85,100.00,576,2022-08-02 17:52:34.326261
99.61,100.00,573,2022-08-02 17:52:35.319318
99.61,100.00,573,2022-08-02 17:52:36.319375
99.48,100.00,573,2022-08-02 17:52:37.309432
99.31,100.00,573,2022-08-02 17:52:38.309489
99.31,100.00,573,2022-08-02 17:52:39.304546
99.08,100.00,573,2022-08-02 17:52:40.320604
98.99,100.00,573,2022-08-02 17:52:41.311660
98.97,100.00,573,2022-08-02 17:52:42.324718
98.91,100.00,573,2022-08-02 17:52:43.313775
98.87,100.00,573,2022-08-02 17:52:44.308832
98.85,100.00,573,2022-08-02 17:52:45.318890
98.85,100.00,573,2022-08-02 17:52:46.303946
98.81,100.00,573,2022-08-02 17:52:47.310004
98.81,100.00,573,2022-08-02 17:52:48.309061
98.84,100.00,573,2022-08-02 17:52:49.304118
98.84,100.00,570,2022-08-02 17:52:50.305175
98.97,100.00,570,2022-08-02 17:52:51.309232
99.01,100.00,570,2022-08-02 17:52:52.308289
99.06,100.00,570,2022-08-02 17:52:53.308347
99.06,100.00,570,2022-08-02 17:52:54.308404
99.22,100.00,570,2022-08-02 17:52:55.309461
99.39,100.00,573,2022-08-02 17:52:56.303518
99.76,100.00,573,2022-08-02 17:52:57.318576
100.04,100.00,573,2022-08-02 17:52:58.303632
100.22,100.00,573,2022-08-02 17:52:59.316690
100.22,100.00,573,2022-08-02 17:53:00.318748
100.36,100.00,573,2022-08-02 17:53:01.303804
100.44,100.00,573,2022-08-02 17:53:02.308861
100.59,100.00,573,2022-08-02 17:53:03.313919
100.59,100.00,573,2022-08-02 17:53:04.313976
100.54,100.00,573,2022-08-02 17:53:05.304033
100.51,100.00,573,2022-08-02 17:53:06.304090
100.52,100.00,573,2022-08-02 17:53:07.303147
100.52,100.00,573,2022-08-02 17:53:08.314205
100.51,100.00,573,2022-08-02 17:53:09.313262
100.51,100.00,573,2022-08-02 17:53:10.308319
100.45,100.00,573,2022-08-02 17:53:11.310376
100.45,100.00,573,2022-08-02 17:53:12.303433
100.38,100.00,573,2022-08-02 17:53:13.303490
100.38,100.00,573,2022-08-02 17:53:14.308548
100.14,100.00,573,2022-08-02 17:53:15.303605
100.09,100.00,573,2022-08-02 17:53:16.318663
99.99,100.00,573,2022-08-02 17:53:17.318720
99.92,100.00,573,2022-08-02 17:53:18.318777
99.92,100.00,573,2022-08-02 17:53:19.308834
99.84,100.00,573,2022-08-02 17:53:20.307891
99.76,100.00,573,2022-08-02 17:53:21.315949
99.66,100.00,573,2022-08-02 17:53:22.308005
99.61,100.00,573,2022-08-02 17:53:23.303062
99.49,100.00,573,2022-08-02 17:53:24.318120
99.49,100.00,573,2022-08-02 17:53:25.314177
99.48,100.00,573,2022-08-02 17:53:26.313234
99.45,100.00,573,2022-08-02 17:53:27.303291
99.44,100.00,573,2022-08-02 17:53:28.319349
99.41,100.00,573,2022-08-02 17:53:29.313406
99.35,100.00,573,2022-08-02 17:53:30.308463
99.35,100.00,573,2022-08-02 17:53:31.313520
99.38,100.00,573,2022-08-02 17:53:32.308577
99.36,100.00,573,2022-08-02 17:53:33.318635
99.43,100.00,573,2022-08-02 17:53:34.313692
99.43,100.00,570,2022-08-02 17:53:35.309749
99.39,100.00,570,2022-08-02 17:53:36.307806
99.37,100.00,570,2022-08-02 17:53:37.302863
99.41,100.00,570,2022-08-02 17:53:38.309921
99.55,100.00,570,2022-08-02 17:53:39.318978
99.62,100.00,570,2022-08-02 17:53:40.308035
99.62,100.00,570,2022-08-02 17:53:41.303092
99.71,100.00,573,2022-08-02 17:53:42.306149
99.71,100.00,570,2022-08-02 17:53:43.303206
99.97,100.00,573,2022-08-02 17:53:44.308264
100.23,100.00,573,2022-08-02 17:53:45.308321
100.23,100.00,573,2022-08-02 17:53:46.322379
100.35,100.00,573,2022-08-02 17:53:47.318436
100.38,100.00,573,2022-08-02 17:53:48.307492
100.37,100.00,573,2022-08-02 17:53:49.313550
100.32,100.00,573,2022-08-02 17:53:50.310607
100.32,100.00,573,2022-08-02 17:53:51.310664
100.29,100.00,573,2022-08-02 17:53:52.307721
100.24,100.00,573,2022-08-02 17:53:53.309778
100.18,100.00,573,2022-08-02 17:53:54.312836
100.10,100.00,573,2022-08-02 17:53:55.308893
100.05,100.00,573,2022-08-02 17:53:56.312950
100.06,100.00,573,2022-08-02 17:53:57.308007
100.06,100.00,573,2022-08-02 17:53:58.308064
99.98,100.00,573,2022-08-02 17:53:59.313122
100.00,100.00,573,2022-08-02 17:54:00.318179
100.07,100.00,573,2022-08-02 17:54:01.313236
100.09,100.00,573,2022-08-02 17:54:02.302293
100.10,100.00,573,2022-08-02 17:54:03.320351
100.12,100.00,573,2022-08-02 17:54:04.526420
100.10,100.00,573,2022-08-02 17:54:05.307465
100.11,100.00,573,2022-08-02 17:54:06.302522
100.09,100.00,573,2022-08-02 17:54:07.302579
100.09,100.00,573,2022-08-02 17:54:08.313637
100.09,100.00,573,2022-08-02 17:54:09.317694
100.05,100.00,573,2022-08-02 17:54:10.302750
100.10,100.00,573,2022-08-02 17:54:11.317808
100.10,100.00,573,2022-08-02 17:54:12.479875
100.10,100.00,573,2022-08-02 17:54:13.302922
100.16,100.00,573,2022-08-02 17:54:14.307980
100.16,100.00,573,2022-08-02 17:54:15.308037
100.12,100.00,573,2022-08-02 17:54:16.303094
100.14,100.00,573,2022-08-02 17:54:17.308151
100.21,100.00,573,2022-08-02 17:54:18.302208
100.28,100.00,573,2022-08-02 17:54:19.319266
100.32,100.00,573,2022-08-02 17:54:20.318323
100.39,100.00,573,2022-08-02 17:54:21.307380
100.29,100.00,573,2022-08-02 17:54:22.302437
100.26,100.00,573,2022-08-02 17:54:23.317495
100.26,100.00,573,2022-08-02 17:54:24.307551
100.14,100.00,573,2022-08-02 17:54:25.303608
100.14,100.00,573,2022-08-02 17:54:26.307666
99.97,100.00,573,2022-08-02 17:54:27.307723
99.87,100.00,573,2022-08-02 17:54:28.307780
99.87,100.00,573,2022-08-02 17:54:29.302837
99.87,100.00,573,2022-08-02 17:54:30.312895
99.78,100.00,573,2022-08-02 17:54:31.307952
99.75,100.00,573,2022-08-02 17:54:32.317010
99.75,100.00,573,2022-08-02 17:54:33.308066
99.70,100.00,573,2022-08-02 17:54:34.302123
99.53,100.00,573,2022-08-02 17:54:35.307181
99.54,100.00,573,2022-08-02 17:54:36.302238
99.51,100.00,573,2022-08-02 17:54:37.306295
99.43,100.00,570,2022-08-02 17:54:38.304352
99.43,100.00,570,2022-08-02 17:54:39.305409
99.33,100.00,570,2022-08-02 17:54:40.309467
99.23,100.00,570,2022-08-02 17:54:41.302524
99.25,100.00,570,2022-08-02 17:54:42.309581
99.23,100.00,570,2022-08-02 17:54:43.302638
99.26,100.00,570,2022-08-02 17:54:44.304695
99.31,100.00,570,2022-08-02 17:54:45.311753
99.36,100.00,570,2022-08-02 17:54:46.312810
99.36,100.00,570,2022-08-02 17:54:47.317868
99.36,100.00,570,2022-08-02 17:54:48.301924
99.51,100.00,570,2022-08-02 17:54:49.306981
99.52,100.00,570,2022-08-02 17:54:50.306038
99.51,100.00,570,2022-08-02 17:54:51.307096
99.49,100.00,570,2022-08-02 17:54:52.314153
99.54,100.00,570,2022-08-02 17:54:53.314211
99.58,100.00,570,2022-08-02 17:54:54.302267
99.58,100.00,570,2022-08-02 17:54:55.307325
99.74,100.00,570,2022-08-02 17:54:56.307382
99.74,100.00,570,2022-08-02 17:54:57.307439
100.22,100.00,573,2022-08-02 17:54:58.316497
100.74,100.00,573,2022-08-02 17:54:59.312554
101.01,100.00,573,2022-08-02 17:55:00.311611
101.01,100.00,573,2022-08-02 17:55:01.306668
101.18,100.00,573,2022-08-02 17:55:02.311725
101.29,100.00,573,2022-08-02 17:55:03.312782
101.37,100.00,573,2022-08-02 17:55:04.301839
101.37,100.00,573,2022-08-02 17:55:05.306896
101.34,100.00,573,2022-08-02 17:55:06.306954
101.26,100.00,573,2022-08-02 17:55:07.307011
101.26,100.00,573,2022-08-02 17:55:08.302068
101.05,100.00,573,2022-08-02 17:55:09.302125
100.95,100.00,573,2022-08-02 17:55:10.302182
100.95,100.00,573,2022-08-02 17:55:11.484250
100.92,100.00,573,2022-08-02 17:55:12.314297
100.85,100.00,573,2022-08-02 17:55:13.301354
